,iterador,acumul,time_spent,memory_usage
247,272700,272700,6.997108459472656,209.68
248,273800,273800,6.999731063842773,209.68
249,274900,274900,6.999492645263672,209.68
250,276000,276000,6.999015808105469,209.68
251,277100,277100,7.000207901000977,209.68
252,278200,278200,6.99925422668457,209.68
253,279300,279300,6.999969482421875,209.68
254,280400,280400,6.999969482421875,209.68
255,281500,281500,7.000207901000977,209.68
256,282600,282600,6.998538970947266,209.68
257,283700,283700,5.99980354309082,209.68
258,284800,284800,6.9980621337890625,209.68
259,285900,285900,6.99925422668457,209.68
260,287000,287000,6.999731063842773,209.68
261,288100,288100,6.99925422668457,209.68
262,289200,289200,6.999731063842773,209.68
263,290300,290300,6.999969482421875,209.68
264,291400,291400,7.999897003173828,209.68
265,292500,292500,7.000446319580078,209.68
266,293600,293600,8.99958610534668,209.68
267,294700,294700,6.999731063842773,209.68
268,295800,295800,7.000207901000977,209.68
269,296900,296900,7.998228073120117,209.68
270,298000,298000,6.996631622314453,209.68
271,299100,299100,6.997823715209961,209.68
